gene,amp,phase
Sgk1,1.0021440057415676,-0.389635274
Tle1,0.9973682009335095,4.123364084
Jade2,0.9013919290950656,3.23371595
Rnd3,0.7387910558199691,-0.06605056
Borcs6,0.8751891177052395,3.093595231
Ajuba,0.9621682389296565,3.534913443
Fgf4,1.1582729333085175,0.490239293
Tgif1,1.1927400822813594,0.325366531
Shisa3,0.8586316836897281,3.727613571
Plekhg3,1.187708254751012,3.240885553
Ahdc1,1.118343499090974,3.437717932
Atoh8,0.5018487720507613,3.019377646
Ier2,1.1787077529836112,2.833693465
Fgf20,0.21956308523624077,0.647417387
Cd40,0.20738504334166658,-1.29805642
Efna3,0.7336132602278663,3.950393438
Bbc3,0.8918462920479606,3.156780235
Tbl2,0.8648480048280818,-0.763331865
Erf,1.1890732923516854,3.501628137
Apcdd1,0.3497237756948782,1.546717824
Spry1,0.416950551206524,3.443572446
Id1,0.6057399375904853,2.339042093
Iffo2,0.8672813372998627,3.641749578
Dennd2c,1.1014537864542184,0.374807895
Lcorl,0.5791791205733688,3.505506758
Pknox2,1.0280257747410968,3.877161283
Msx1,0.7158616875457966,1.915634921
Zcchc3,1.0377825517902926,3.305591434
Mafk,0.36923626318066255,2.588691303
Ext1,1.1051916768618804,3.502921122
Arl6ip4,1.0018233138289774,3.147199071
Nab2,0.6108776025212315,4.530963709
Hey1,0.7196292009378151,2.987092387
Otx1,0.6774513783641807,3.411387607
Dym,0.7002586292161842,0.01728664
Rbmxl1,1.0039749363347918,3.306180282
Amotl2,0.8587153967891198,2.648384317
Inka1,0.9973806594540597,3.333391968
N4bp3,0.4985685933997434,3.589271552
Appl2,0.43370574453563254,1.143529759
Map3k9,0.3422861166425084,3.215696679
Ddit4,1.4163447510902192,2.996490463
Pou4f1,0.11995027627732092,0.03629088
Tubgcp5,0.6149054704614715,-0.075326349
Arl4d,1.0358124357582972,3.501066937
Ing1,1.0389728852127234,3.234094663
Vps26b,0.2723118446481912,4.345964878
Mettl26,0.323211058218559,0.339022145
Leng1,0.46699670681833183,3.936493277
Elp4,0.589094632193588,-0.29596184
Zic3,0.7276736045199437,0.383503734
Cdc42se2,1.034297088008635,-0.138997982
Ndufs6,0.8573679413403009,2.126894372
Cpne1,1.0890887019377402,0.13736985
Cdc42se1,0.9977860857858503,3.943717355
Kctd6,0.5049324081473304,-0.153052177
Kcnk10,0.47487583506160674,0.013423276
Foxo4,0.9148152818477517,3.177867451
Rpia,0.4258421393627069,2.659428424
Ccnd1,1.129124355766165,3.175278291
Kcnj12,0.5068461447041214,2.621657317
Agap3,1.1249302878494485,2.597643073
Bok,0.10721343633215115,3.58979055
Sox12,0.9188809072799003,3.366538152
Snph,0.3797675808020483,2.792784214
Acbd6,0.8210960746029091,3.786570884
Tceal9,1.1110201932980466,2.560324283
Tead4,0.2518235218909711,3.930465053
Iqsec2,0.30127442783660885,3.172213577
Gpc6,0.6396820505783007,-0.905365773
Zfpl1,0.25271082959205704,0.479240401
Brd1,0.7759390626393216,3.773713842
Mios,0.7160642938127729,0.114176356
Cd274,0.18653119183810776,0.278263355
Dnajb1,0.5815116380942084,3.492191276
Mxra7,0.32397132626997377,4.312413576
Rab7,0.8840226049946905,2.513963406
Rbp4,0.0821015601680415,4.445771689
Abhd2,0.7568622151359748,0.983840749
Mterf2,0.3809690714009245,-0.253726462
Tcp11l1,0.17748406245080817,2.103911858
Eef1e1,0.6461446921074423,1.490953551
Hoxa2,0.3657065473644994,0.676197628
Lurap1l,0.19835834560541887,1.718314749
Slc25a19,0.4887992248291349,2.7522564
Bc005624,0.6947850137514678,2.685496318
Dgke,0.5416773454299642,-0.022156879
Tgif2,0.9145377177457026,2.849312083
Rnaseh2c,0.8324777711498839,3.272385344
Pet100,0.5535269608086912,2.457240411
Znhit6,0.1443926844991133,-1.176455064
1190007i07rik,0.3200342598026948,1.584018046
Tmem119,0.4505656849224841,2.345428377
Abcc4,0.2509824498850806,-1.515745922
Trh,0.19355090747065404,2.430087504
Ndor1,0.7078151657785374,-0.646502852
Timmdc1,0.5392464654404366,3.820601142
Idua,0.20789817356797174,-0.482921651
Zfp830,0.5313847461512896,2.364962458
Gins2,0.8309447845793506,3.678660947
Med13l,0.7745068453741101,-0.141681949
Stk38,0.8161234515937984,1.079946118
Slc1a4,1.0655671565294438,0.47357028
Sall1,1.0334860595404693,0.754513324
Ccdc28b,0.4252930379210781,4.070556506
Trir,1.09085795243683,3.202322371
Lca5,0.5676380665019142,0.682594967
Atat1,0.46293656207420286,1.615265623
Zbtb20,0.1930501030353251,-0.097317255
Tceal7,0.26671380579663423,1.856854615
Sap18,0.7698519984270412,1.683236247
Atp1b2,0.45491229639636127,-0.489238353
Dnal4,0.5411428633667285,2.109676948
Zfp870,0.39190553954168683,0.487679312
Rarg,1.1186710354703444,0.768280304
Virma,0.8984085128100123,4.492778439
Plekho1,1.0631531958630134,2.284740649
Snrpc,0.8617579190891519,1.88083914
3110082i17rik,0.5994165135101986,3.789354363
Baz1a,0.4424535378562968,-1.037277754
Fv1,0.3906958560599229,-1.414255097
Zfp212,0.5439900091320726,1.979807477
Itm2c,0.886455512213573,2.615935396
Zfp651,0.5845841865490004,1.1179037
Alg2,0.4527865382539868,4.024224522
